Trust Train ID,Planned Origin Location Descr,Planned Dest Location Descr,Date,WTT Time,Actual Time,Geography,asd,WTT Delay Lateness,Geography Code,Geography Description,Headcode,Timing Event Description
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:25,01/01/2020 22:25,London Victoria;Originate,0,0,87201,London Victoria,1A62,Originate
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:31,01/01/2020 22:31,Clapham Junction;Arrive,0,0,87219,Clapham Junction,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:32,01/01/2020 22:31,Clapham Junction;Depart,-60,0,87219,Clapham Junction,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:34,01/01/2020 22:34,Balham;Pass,-30,0,87222,Balham,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:36,01/01/2020 22:35,Streatham North Jn;Pass,-60,0,87616,Streatham North Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:39,01/01/2020 22:39,Selhurst;Pass,0,0,87637,Selhurst,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:40,01/01/2020 22:43,East Croydon;Arrive,150,2.5,87701,East Croydon,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:43,01/01/2020 22:45,East Croydon;Depart,120,2,87701,East Croydon,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:44,01/01/2020 22:46,South Croydon;Pass,90,1.5,87704,South Croydon,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:46,01/01/2020 22:49,Purley;Pass,150,2.5,87801,Purley,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:48,01/01/2020 22:52,Stoats Nest Jn.;Pass,210,3.5,87901,Stoats Nest Jn.,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:54,01/01/2020 22:58,Earlswood (Surrey);Pass,240,4,87903,Earlswood (Surrey),1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:58,01/01/2020 23:02,Gatwick Airport;Arrive,240,4,87911,Gatwick Airport,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 22:59,01/01/2020 23:03,Gatwick Airport;Depart,210,3.5,87911,Gatwick Airport,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:02,01/01/2020 23:06,Three Bridges;Pass,210,3.5,87920,Three Bridges,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:04,01/01/2020 23:08,Balcombe Tunnel Jn;Pass,240,4,87927,Balcombe Tunnel Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:09,01/01/2020 23:13,Haywards Heath;Arrive,210,3.5,87967,Haywards Heath,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:12,01/01/2020 23:14,Haywards Heath;Depart,120,2,87967,Haywards Heath,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:15,01/01/2020 23:17,Keymer Jn;Pass,90,1.5,87972,Keymer Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:16,01/01/2020 23:18,Burgess Hill;Arrive,90,1.5,87971,Burgess Hill,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:17,01/01/2020 23:18,Burgess Hill;Depart,30,0.5,87971,Burgess Hill,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:20,01/01/2020 23:21,Hassocks;Arrive,30,0.5,87973,Hassocks,1A62,Arrive
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:21,01/01/2020 23:22,Hassocks;Depart,30,0.5,87973,Hassocks,1A62,Depart
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:27,01/01/2020 23:27,Preston Park;Pass,0,0,87975,Preston Park,1A62,Pass
871A621801,London Victoria,Brighton,01/01/2020,01/01/2020 23:31,01/01/2020 23:31,Brighton;Terminate,0,0,87980,Brighton,1A62,Terminate
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:25,01/04/2020 22:26,London Victoria;Originate,60,1,87201,London Victoria,1A62,Originate
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:31,01/04/2020 22:32,Clapham Junction;Arrive,60,1,87219,Clapham Junction,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:32,01/04/2020 22:32,Clapham Junction;Depart,0,0,87219,Clapham Junction,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:34,01/04/2020 22:35,Balham;Pass,30,0.5,87222,Balham,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:36,01/04/2020 22:36,Streatham North Jn;Pass,0,0,87616,Streatham North Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:39,01/04/2020 22:39,Selhurst;Pass,0,0,87637,Selhurst,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:40,01/04/2020 22:41,East Croydon;Arrive,30,0.5,87701,East Croydon,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:42,01/04/2020 22:42,East Croydon;Depart,0,0,87701,East Croydon,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:45,01/04/2020 22:45,Purley;Pass,-30,0,87801,Purley,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:46,01/04/2020 22:46,Stoats Nest Jn.;Pass,-30,0,87901,Stoats Nest Jn.,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:52,01/04/2020 22:51,Earlswood (Surrey);Pass,-60,0,87903,Earlswood (Surrey),1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:56,01/04/2020 22:56,Gatwick Airport;Arrive,0,0,87911,Gatwick Airport,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 22:58,01/04/2020 22:57,Gatwick Airport;Depart,-60,0,87911,Gatwick Airport,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:01,01/04/2020 23:00,Three Bridges;Pass,-60,0,87920,Three Bridges,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:02,01/04/2020 23:02,Balcombe Tunnel Jn;Pass,-30,0,87927,Balcombe Tunnel Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:09,01/04/2020 23:09,Haywards Heath;Arrive,0,0,87967,Haywards Heath,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:12,01/04/2020 23:11,Haywards Heath;Depart,-60,0,87967,Haywards Heath,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:15,01/04/2020 23:14,Keymer Jn;Pass,-90,0,87972,Keymer Jn,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:16,01/04/2020 23:15,Burgess Hill;Arrive,-90,0,87971,Burgess Hill,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:17,01/04/2020 23:16,Burgess Hill;Depart,-90,0,87971,Burgess Hill,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:20,01/04/2020 23:19,Hassocks;Arrive,-90,0,87973,Hassocks,1A62,Arrive
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:21,01/04/2020 23:20,Hassocks;Depart,-90,0,87973,Hassocks,1A62,Depart
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:27,01/04/2020 23:25,Preston Park;Pass,-120,0,87975,Preston Park,1A62,Pass
871A621801,London Victoria,Brighton,01/04/2020,01/04/2020 23:31,01/04/2020 23:28,Brighton;Terminate,-180,0,87980,Brighton,1A62,Terminate
871A621801,London Victoria,Brighton,01/05/2020,01/05/2020 22:25,01/05/2020 22:24,London Victoria;Originate,-60,0,87201,London Victoria,1A62,Originate
