Date Field,Station Dwells,Planned,Count of Trains/Timing Points - WTT,Footfall,Primary Delay Minutes,Incident Count,PPM%,Dwell%,On Time WTT%
03/02/2020,158150.00,23919.00,397777.00,2426411.00,13965.00,2144.00,0.86,0.60,0.61
04/02/2020,157080.00,23985.00,398102.00,2533443.00,12408.00,2188.00,0.85,0.59,0.60
05/02/2020,159882.00,23992.00,401466.00,2597900.00,12567.00,2195.00,0.88,0.59,0.62
06/02/2020,156698.00,23997.00,395525.00,2648353.00,12734.00,2184.00,0.85,0.59,0.59
07/02/2020,158527.00,24013.00,401711.00,2639256.00,14097.00,2204.00,0.88,0.58,0.60
10/02/2020,142317.00,23545.00,371195.00,2405726.00,30611.00,2231.00,0.73,0.59,0.52
11/02/2020,152965.00,23849.00,393486.00,2536533.00,17902.00,2294.00,0.82,0.60,0.58
12/02/2020,159754.00,23981.00,400457.00,2602382.00,14640.00,2218.00,0.87,0.59,0.60
13/02/2020,157588.00,23982.00,396292.00,2640915.00,13581.00,2239.00,0.85,0.59,0.60
14/02/2020,156345.00,23985.00,398658.00,2622764.00,16611.00,2200.00,0.86,0.60,0.60
17/02/2020,144695.00,23731.00,376449.00,2543932.00,22266.00,2198.00,0.75,0.59,0.53
18/02/2020,152275.00,23804.00,392535.00,2625178.00,16308.00,2236.00,0.82,0.59,0.55
19/02/2020,155324.00,23876.00,395150.00,2721621.00,18336.00,2369.00,0.84,0.58,0.58
20/02/2020,152301.00,23841.00,391414.00,2727173.00,19707.00,2221.00,0.82,0.59,0.57
21/02/2020,153304.00,24054.00,400097.00,2679887.00,17407.00,2099.00,0.84,0.60,0.59
24/02/2020,156929.00,24003.00,400797.00,2427216.00,19132.00,2249.00,0.82,0.59,0.56
25/02/2020,159852.00,24084.00,403774.00,2582904.00,14587.00,2171.00,0.88,0.60,0.61
26/02/2020,158213.00,24089.00,403334.00,2609834.00,18094.00,2120.00,0.84,0.60,0.58
27/02/2020,160106.00,24072.00,409315.00,2699091.00,15817.00,2180.00,0.87,0.60,0.59
28/02/2020,156299.00,24133.00,400968.00,2670135.00,19561.00,2149.00,0.84,0.58,0.58
02/03/2020,156660.00,24006.00,399875.00,2400442.00,19499.00,2100.00,0.85,0.61,0.60
03/03/2020,157717.00,24065.00,404527.00,2472966.00,14547.00,1979.00,0.85,0.60,0.59
04/03/2020,161350.00,24065.00,407641.00,2518482.00,14925.00,2065.00,0.87,0.60,0.61
