,Geography Description,Date,Daily Footfall,Lost Path PfPI,901 Other PfPI,Late Crew PfPI,Late Stock PfPI,902 Other PfPI,On Time Percentage
0,Birmingham New Street,2019-05-20,166105.0,549.0,17.0,21.0,65.0,61.0,0.3697394789579158
1,Birmingham New Street,2019-05-21,176944.0,875.0,50.0,174.0,272.0,94.0,0.37067209775967414
2,Birmingham New Street,2019-05-22,171198.0,543.0,15.0,83.0,183.0,36.0,0.36427145708582837
3,Birmingham New Street,2019-05-23,173416.0,491.0,0.0,18.0,69.0,31.0,0.35258964143426297
4,Birmingham New Street,2019-05-24,182297.0,829.0,0.0,17.0,199.0,46.0,0.33534743202416917
5,Birmingham New Street,2019-05-28,173072.0,453.0,30.0,56.0,117.0,61.0,0.4195804195804196
6,Birmingham New Street,2019-05-29,174367.0,542.0,11.0,53.0,57.0,79.0,0.3753723932472691
7,Birmingham New Street,2019-05-30,181283.0,717.0,12.0,75.0,225.0,132.0,0.3414141414141414
8,Birmingham New Street,2019-05-31,189736.0,940.0,83.0,66.0,140.0,271.0,0.28717948717948716
9,Birmingham New Street,2019-06-03,165498.0,660.0,12.0,42.0,108.0,103.0,0.3035175879396985
10,Birmingham New Street,2019-06-04,170059.0,680.0,15.0,25.0,159.0,60.0,0.343687374749499
11,Birmingham New Street,2019-06-05,171935.0,351.0,19.0,48.0,49.0,66.0,0.40380761523046094
12,Birmingham New Street,2019-06-06,177757.0,413.0,32.0,28.0,97.0,53.0,0.36936936936936937
13,Birmingham New Street,2019-06-07,182339.0,898.0,72.0,128.0,440.0,117.0,0.2276923076923077
14,Birmingham New Street,2019-06-10,163540.0,302.0,53.0,20.0,100.0,73.0,0.4124124124124124
15,Birmingham New Street,2019-06-11,171953.0,880.0,152.0,157.0,230.0,236.0,0.29183673469387755
16,Birmingham New Street,2019-06-12,175547.0,727.0,40.0,52.0,252.0,139.0,0.3022312373225152
17,Birmingham New Street,2019-06-13,178825.0,626.0,9.0,54.0,187.0,108.0,0.3316633266533066
18,Birmingham New Street,2019-06-14,182234.0,531.0,108.0,106.0,99.0,206.0,0.38368580060422963
19,Birmingham New Street,2019-06-17,163480.0,273.0,0.0,44.0,48.0,35.0,0.4681274900398406
20,Birmingham New Street,2019-06-18,172615.0,576.0,79.0,97.0,92.0,54.0,0.38928210313447925
21,Birmingham New Street,2019-06-19,185610.0,245.0,0.0,22.0,62.0,56.0,0.4318407960199005
22,Birmingham New Street,2019-06-20,177892.0,367.0,5.0,26.0,60.0,77.0,0.43812375249500995
23,Birmingham New Street,2019-06-21,184625.0,599.0,31.0,65.0,110.0,112.0,0.3116883116883117
24,Birmingham New Street,2019-06-24,166409.0,708.0,13.0,6.0,167.0,156.0,0.32873806998939553
25,Birmingham New Street,2019-06-25,167104.0,471.0,25.0,82.0,139.0,66.0,0.41783567134268534
26,Birmingham New Street,2019-06-26,178493.0,745.0,9.0,55.0,245.0,219.0,0.347165991902834
27,Birmingham New Street,2019-06-27,176098.0,845.0,48.0,0.0,79.0,81.0,0.34444444444444444
