,Balcombe;Arrive,Balcombe;Depart,Balham;Pass,Balcombe Tunnel Jn;Pass,Battersea Park;Pass,Battersea Pier Jn.;Pass,Brighton;Terminate,Burgess Hill;Arrive,Burgess Hill;Depart,Clapham Junction;Arrive,Clapham Junction;Depart,Copyhold Jn;Pass,Earlswood (Surrey);Pass,East Croydon;Arrive,East Croydon;Depart,Gatwick Airport;Arrive,Gatwick Airport;Depart,Hassocks;Arrive,Hassocks;Depart,Haywards Heath;Arrive,Haywards Heath;Depart,Hove;Arrive,Hove;Depart,Keymer Jn;Pass,London Victoria;Originate,Preston Park;Arrive,Preston Park;Depart,Preston Park;Pass,Purley;Pass,Redhill;Pass,Selhurst;Pass,South Croydon;Pass,Stoats Nest Jn.;Pass,Streatham Common;Pass,Streatham North Jn;Pass,Three Bridges;Arrive,Three Bridges;Depart,Three Bridges;Pass,Windmill Bridge Jn;Pass,Wivelsfield;Arrive
01/01/2020,#ERROR,#ERROR,-30,240,#ERROR,#ERROR,0,90,30,0,-60,#ERROR,240,150,120,240,210,30,30,210,120,#ERROR,#ERROR,90,0,#ERROR,#ERROR,0,150,#ERROR,0,90,210,#ERROR,-60,#ERROR,#ERROR,210,#ERROR,#ERROR
02/01/2020,#ERROR,#ERROR,-30,-30,#ERROR,#ERROR,0,120,120,-60,0,#ERROR,30,30,30,90,0,120,120,-30,30,#ERROR,#ERROR,120,0,#ERROR,#ERROR,90,60,#ERROR,0,#ERROR,#ERROR,#ERROR,-60,#ERROR,#ERROR,0,#ERROR,#ERROR
03/01/2020,#ERROR,#ERROR,-30,-30,#ERROR,#ERROR,-120,60,60,-60,0,#ERROR,-30,-30,-30,30,0,60,0,-30,-90,#ERROR,#ERROR,60,-60,#ERROR,#ERROR,30,0,#ERROR,-60,#ERROR,0,#ERROR,-60,#ERROR,#ERROR,0,#ERROR,#ERROR
04/01/2020,#ERROR,#ERROR,150,450,#ERROR,#ERROR,240,300,330,120,180,#ERROR,210,210,210,330,240,330,360,450,330,#ERROR,#ERROR,300,180,#ERROR,#ERROR,390,240,#ERROR,180,#ERROR,240,#ERROR,120,#ERROR,#ERROR,360,#ERROR,#ERROR
06/01/2020,#ERROR,#ERROR,"1,050","1,230",#ERROR,#ERROR,"1,080","1,080","1,080","1,020","1,020",#ERROR,"1,110","1,110","1,110","1,170","1,080","1,080","1,080","1,230","1,110",#ERROR,#ERROR,"1,080",960,#ERROR,#ERROR,"1,050","1,140",#ERROR,"1,080",#ERROR,"1,140",#ERROR,"1,020",#ERROR,#ERROR,"1,080",#ERROR,#ERROR
07/01/2020,#ERROR,#ERROR,30,30,#ERROR,#ERROR,-120,0,0,60,0,#ERROR,90,90,90,150,0,0,0,-30,-90,#ERROR,#ERROR,0,60,#ERROR,#ERROR,-30,60,#ERROR,0,#ERROR,60,#ERROR,0,#ERROR,#ERROR,0,#ERROR,#ERROR
08/01/2020,#ERROR,#ERROR,90,150,#ERROR,#ERROR,240,420,420,60,60,#ERROR,150,150,150,210,180,420,360,150,270,#ERROR,#ERROR,420,120,#ERROR,#ERROR,390,180,#ERROR,120,#ERROR,180,#ERROR,60,#ERROR,#ERROR,120,#ERROR,#ERROR
09/01/2020,#ERROR,#ERROR,-30,-30,#ERROR,#ERROR,-60,60,60,-60,-60,#ERROR,-30,-30,-30,30,0,60,60,-30,-30,#ERROR,#ERROR,60,0,#ERROR,#ERROR,30,0,#ERROR,-60,#ERROR,0,#ERROR,-60,#ERROR,#ERROR,0,#ERROR,#ERROR
10/01/2020,#ERROR,#ERROR,270,450,#ERROR,#ERROR,360,480,480,240,240,#ERROR,330,330,330,450,420,480,480,450,390,#ERROR,#ERROR,480,0,#ERROR,#ERROR,510,300,#ERROR,240,#ERROR,300,#ERROR,240,#ERROR,#ERROR,420,#ERROR,#ERROR
11/01/2020,#ERROR,#ERROR,0,0,#ERROR,#ERROR,-60,-30,0,0,0,#ERROR,0,180,0,0,-30,0,-30,-60,-60,#ERROR,#ERROR,-30,-60,#ERROR,#ERROR,0,30,#ERROR,-60,#ERROR,30,#ERROR,-90,#ERROR,#ERROR,-30,#ERROR,#ERROR
12/01/2020,#ERROR,#ERROR,-90,0,#ERROR,#ERROR,-120,-30,-30,-60,-60,#ERROR,0,30,0,0,-30,-90,-90,-30,-60,#ERROR,#ERROR,-30,0,#ERROR,#ERROR,-60,30,#ERROR,0,#ERROR,30,#ERROR,0,#ERROR,#ERROR,-30,#ERROR,#ERROR
13/01/2020,#ERROR,#ERROR,-30,270,#ERROR,#ERROR,120,180,180,-60,-60,#ERROR,270,210,210,390,300,180,120,270,150,#ERROR,#ERROR,180,0,#ERROR,#ERROR,150,300,#ERROR,120,#ERROR,300,#ERROR,0,#ERROR,#ERROR,300,#ERROR,#ERROR
14/01/2020,#ERROR,#ERROR,150,270,#ERROR,#ERROR,180,360,360,120,120,#ERROR,270,150,150,330,240,360,300,330,210,#ERROR,#ERROR,360,180,#ERROR,#ERROR,270,180,#ERROR,120,#ERROR,240,#ERROR,120,#ERROR,#ERROR,240,#ERROR,#ERROR
15/01/2020,#ERROR,#ERROR,210,150,#ERROR,#ERROR,-60,0,0,180,180,#ERROR,210,210,210,270,180,0,0,150,30,#ERROR,#ERROR,0,0,#ERROR,#ERROR,30,240,#ERROR,180,#ERROR,240,#ERROR,180,#ERROR,#ERROR,180,#ERROR,#ERROR
16/01/2020,#ERROR,#ERROR,150,30,#ERROR,150,0,60,60,120,120,#ERROR,90,150,150,150,60,60,0,30,-30,#ERROR,#ERROR,60,60,#ERROR,#ERROR,30,120,#ERROR,120,#ERROR,120,#ERROR,120,#ERROR,#ERROR,60,#ERROR,#ERROR
17/01/2020,#ERROR,#ERROR,-30,-30,#ERROR,#ERROR,240,60,60,-60,0,#ERROR,-30,30,30,-30,0,60,60,-30,-30,#ERROR,#ERROR,60,0,#ERROR,#ERROR,270,0,#ERROR,0,#ERROR,0,#ERROR,0,#ERROR,#ERROR,0,#ERROR,#ERROR
20/01/2020,#ERROR,#ERROR,90,120,#ERROR,#ERROR,60,60,30,120,60,#ERROR,210,90,90,180,150,30,60,150,-30,#ERROR,#ERROR,60,120,#ERROR,#ERROR,90,120,#ERROR,60,#ERROR,120,#ERROR,60,#ERROR,#ERROR,150,#ERROR,#ERROR
