
"","OFF-PEAK","PEAK"
"01/01/2020","67",""
"02/01/2020","55",""
"03/01/2020","54","1"
"04/01/2020","66",""
"05/01/2020","1",""
"06/01/2020","50","1"
"07/01/2020","48",""
"08/01/2020","53","1"
"09/01/2020","54","1"
"10/01/2020","55","1"
"11/01/2020","75",""
"12/01/2020","66",""
"13/01/2020","53","1"
"14/01/2020","53","1"
"15/01/2020","36","1"
"16/01/2020","54","1"
"17/01/2020","52","1"
"18/01/2020","66",""
"19/01/2020","35",""
"20/01/2020","54","1"
"21/01/2020","54","1"
"22/01/2020","54","1"
"23/01/2020","50","1"
"24/01/2020","38","1"
"25/01/2020","75",""
"26/01/2020","71",""
"27/01/2020","55","1"
"28/01/2020","56","1"
"29/01/2020","54","1"
"30/01/2020","55","1"
"31/01/2020","55","1"
"01/02/2020","74",""
"03/02/2020","54","1"
"04/02/2020","53","1"
"05/02/2020","54","1"
"06/02/2020","54","1"
"07/02/2020","53","1"
"08/02/2020","76",""
"09/02/2020","72",""
"10/02/2020","45","1"
"11/02/2020","50","1"
"12/02/2020","50","1"
"13/02/2020","54","1"
"14/02/2020","54","1"
"15/02/2020","75",""
"17/02/2020","54","1"
"18/02/2020","43","1"
"19/02/2020","53","1"
"20/02/2020","52","1"
"21/02/2020","53","1"
"22/02/2020","56",""
"23/02/2020","71",""
"24/02/2020","51","1"
"25/02/2020","54","1"
"26/02/2020","54","1"
"27/02/2020","54","1"
"28/02/2020","54","1"
"29/02/2020","69",""
"01/03/2020","71",""
"02/03/2020","54","1"
"03/03/2020","50","1"
"04/03/2020","55","1"
"05/03/2020","55","1"
"06/03/2020","45","1"
"07/03/2020","74",""
"08/03/2020","69",""
"09/03/2020","55","1"
"10/03/2020","56","1"
"11/03/2020","53","1"
"12/03/2020","56","1"
"13/03/2020","55","1"
"14/03/2020","59",""
"15/03/2020","75",""
"16/03/2020","54","1"
"17/03/2020","53","1"
"18/03/2020","52","1"
"19/03/2020","39","1"
"20/03/2020","45","1"
"21/03/2020","75",""
"22/03/2020","31",""
"23/03/2020","60","12"
"24/03/2020","56","12"
"25/03/2020","59","12"
"26/03/2020","60","12"
"27/03/2020","61","12"
"28/03/2020","73",""
"29/03/2020","53",""
"30/03/2020","57","11"
"31/03/2020","58","11"
"01/04/2020","58","11"
"02/04/2020","57","11"
"03/04/2020","56","11"
"04/04/2020","69",""
"05/04/2020","67",""
"06/04/2020","57","11"
"07/04/2020","58","11"
"08/04/2020","58","11"
"09/04/2020","58","11"
"10/04/2020","68",""
"11/04/2020","68",""
"12/04/2020","71",""
"13/04/2020","68",""
"14/04/2020","58","11"
"15/04/2020","58","11"
"16/04/2020","58","11"
"17/04/2020","57","11"
"18/04/2020","68",""
"20/04/2020","58","11"
"21/04/2020","59","11"
"22/04/2020","59","11"
"23/04/2020","59","11"
"24/04/2020","58","11"
"25/04/2020","68",""
"26/04/2020","70",""
"27/04/2020","57","11"
"28/04/2020","54","11"
"29/04/2020","57","11"
"30/04/2020","57","11"
"01/05/2020","57","11"
"02/05/2020","67",""
"03/05/2020","71",""
"04/05/2020","68",""
"05/05/2020","56","11"
"06/05/2020","56","11"
"07/05/2020","57","11"
"08/05/2020","57","11"
"09/05/2020","35",""
"10/05/2020","32",""
"11/05/2020","57","11"
"12/05/2020","57","11"
"13/05/2020","55","11"
"14/05/2020","57","11"
"15/05/2020","57","11"
"16/05/2020","68",""
"17/05/2020","71",""
"18/05/2020","61","12"
"19/05/2020","65","12"
"20/05/2020","65","12"
"21/05/2020","65","12"
"22/05/2020","62","11"
"23/05/2020","77",""
"24/05/2020","71",""
"25/05/2020","73",""
"26/05/2020","65","12"
"27/05/2020","62","11"
"28/05/2020","65","12"
"29/05/2020","57","12"
"30/05/2020","73",""
"31/05/2020","71",""
"01/06/2020","65","11"
"02/06/2020","67","12"
"03/06/2020","67","12"
"04/06/2020","67","12"
"05/06/2020","66","12"
"06/06/2020","74",""
"07/06/2020","101",""
"08/06/2020","64","12"
"09/06/2020","55","10"
"10/06/2020","64","12"
"11/06/2020","65","12"
"12/06/2020","65","12"
"13/06/2020","77",""
"14/06/2020","65",""
"15/06/2020","65","12"
"16/06/2020","65","12"
"17/06/2020","65","12"
"18/06/2020","65","12"
"19/06/2020","65","12"
"20/06/2020","75",""
