Date,Primary Delay Minutes,Reactionary Delay Minutes,Delay Minutes,Actual Mileage,Primary Delay per 100 miles,Footfall,Count of Trains/Timing Points - WTT,Planned,On Time - WTT,Within 3 - WTT,PPM,On Time WTT%,PPM%
30/11/2017,16137.00,48226.00,64363.00,924835.00,1.74,2910527.00,353161.00,22332.00,175823.00,254696.00,18329.00,0.50,0.82
01/12/2017,21171.00,50216.00,71387.00,922527.00,2.29,3047200.00,350064.00,22360.00,174615.00,253369.00,17981.00,0.50,0.80
04/12/2017,11781.00,40632.00,52413.00,924593.00,1.27,2686946.00,352254.00,22273.00,194634.00,273147.00,19120.00,0.55,0.86
05/12/2017,15885.00,36239.00,52124.00,924752.00,1.72,2815965.00,354719.00,22328.00,203090.00,281055.00,19458.00,0.57,0.87
06/12/2017,13955.00,40953.00,54908.00,927340.00,1.50,2892064.00,354450.00,22343.00,197121.00,275068.00,18977.00,0.56,0.85
07/12/2017,15500.00,52723.00,68223.00,895658.00,1.73,2990926.00,348972.00,22194.00,172413.00,250756.00,17802.00,0.49,0.80
08/12/2017,18235.00,59882.00,78117.00,917131.00,1.99,3051416.00,347925.00,22374.00,174920.00,250790.00,17800.00,0.50,0.80
11/12/2017,43594.00,76897.00,120491.00,875067.00,4.98,2588809.00,331918.00,22340.00,136194.00,202833.00,14460.00,0.41,0.65
12/12/2017,23217.00,63219.00,86436.00,903910.00,2.57,2767565.00,346757.00,22404.00,151908.00,226257.00,16257.00,0.44,0.73
13/12/2017,17506.00,58249.00,75755.00,923501.00,1.90,2866296.00,353008.00,22400.00,169130.00,246649.00,17482.00,0.48,0.78
14/12/2017,19992.00,51800.00,71792.00,907662.00,2.20,2943101.00,348533.00,22413.00,177382.00,253036.00,17703.00,0.51,0.79
15/12/2017,17170.00,53104.00,70274.00,897537.00,1.91,2997018.00,349136.00,22321.00,168215.00,246919.00,17494.00,0.48,0.78
18/12/2017,14879.00,43516.00,58395.00,906566.00,1.64,2635631.00,348681.00,22330.00,190521.00,268063.00,18542.00,0.55,0.83
19/12/2017,12244.00,38568.00,50812.00,925989.00,1.32,2683292.00,353791.00,22376.00,194238.00,274137.00,18837.00,0.55,0.84
20/12/2017,11494.00,36125.00,47619.00,927912.00,1.24,2695888.00,355561.00,22396.00,198618.00,279463.00,19267.00,0.56,0.86
